Subject	shword	Resp	RT	step	sword	TrialCount	wavfile	which	Sresp	StepNum
207	penshil	5	806	step2	pencil	80	Continuua/pencil_penshil/stimulus002.wav	one	5	2
207	shunroof	1	731	step8	sunroof	81	Continuua/sunroof_shunroof/stimulus008.wav	one	5	8
207	shilver	1	955	step11	silver	82	Continuua/silver_shilver/stimulus011.wav	one	5	11
207	shelery	5	840	step4	celery	83	Continuua/celery_shelery/stimulus004.wav	one	5	4
207	shurfboard	5	759	step4	surfboard	84	Continuua/surfboard_shurfboard/stimulus004.wav	one	5	4
207	shofa	1	685	step10	sofa	85	Continuua/sofa_shofa/stimulus010.wav	one	5	10
207	cashtle	5	1463	step5	castle	86	Continuua/castle_cashle/stimulus005.wav	one	5	5
207	ashi	5	926	step6	asi	87	Continuua/asi_ashi/stimulus006.wav	both	5	6
207	mishile	5	741	step5	missile	88	Continuua/missile_mishile/stimulus005.wav	one	5	5
207	shock	1	981	step11	sock	89	Continuua/sock_shock/stimulus011.wav	both	5	11
207	shofa	5	736	step5	sofa	90	Continuua/sofa_shofa/stimulus005.wav	one	5	5
207	shin	1	727	step9	sin	91	Continuua/sin_shin/stimulus009.wav	both	5	9
207	dinoshaur	5	929	step3	dinosaur	92	Continuua/dinosaur_dinoshaur/stimulus003.wav	one	5	3
207	ashi	1	675	step9	asi	93	Continuua/asi_ashi/stimulus009.wav	both	5	9
207	tashel	1	951	step11	tassel	94	Continuua/tassel_tashel/stimulus011.wav	one	5	11
207	shector	1	973	step7	sector	95	Continuua/sector_shector/stimulus007.wav	one	5	7
207	monshoon	5	752	step4	monsoon	96	Continuua/monsoon_monshoon/stimulus004.wav	one	5	4
207	dinoshaur	5	1140	step6	dinosaur	97	Continuua/dinosaur_dinoshaur/stimulus006.wav	one	5	6
207	pharmashy	1	898	step10	pharmacy	98	Continuua/pharmacy_pharmashy/stimulus010.wav	one	5	10
207	shunroof	1	706	step10	sunroof	99	Continuua/sunroof_shunroof/stimulus010.wav	one	5	10
207	shubmarine	5	715	step5	submarine	100	Continuua/submarine_shubmarine/stimulus005.wav	one	5	5
207	shyrup	5	603	step2	syrup	101	Continuua/syrup_shyrup/stimulus002.wav	one	5	2
207	penshil	5	805	step5	pencil	102	Continuua/pencil_penshil/stimulus005.wav	one	5	5
207	shector	1	730	step9	sector	103	Continuua/sector_shector/stimulus009.wav	one	5	9
207	conshert	5	663	step4	concert	104	Continuua/concert_conshert/stimulus004.wav	one	5	4
207	shidewalk	5	734	step4	sidewalk	105	Continuua/sidewalk_shidewalk/stimulus004.wav	one	5	4
207	shy	5	755	step2	sigh	106	Continuua/sigh_shy/stimulus002.wav	both	5	2
207	caroushel	5	844	step2	carousel	107	Continuua/carousel_caroushel/stimulus002.wav	one	5	2
207	currenshy	5	803	step3	currency	108	Continuua/currency_currenshy/stimulus003.wav	one	5	3
207	shilver	5	648	step3	silver	109	Continuua/silver_shilver/stimulus003.wav	one	5	3
207	shofa	5	2328	step7	sofa	110	Continuua/sofa_shofa/stimulus007.wav	one	5	7
207	shettlement	5	737	step1	settlement	111	Continuua/settlement_shettlement/stimulus001.wav	one	5	1
